id	等級	兵器	重量	種類	ATK	氣功	能力	招式
1	1	毒拳刃	1	拳	2	毒氣擴散 / 1 /回合開始時HP-3，之後機率7廢棄。 這個狀態也視為中毒。		
2	2	死亡拳刃	1	拳	3	中毒 / 1 / 回合開始時HP-2，之後機率4廢棄。 	攻擊成功時:中毒3	
3	1	武當劍	2	劍	3	劍氣 / [ 刀 or 劍 ][ 腳 ] / 固5		 
4	1	武當劍	2	劍	3	太虛劍意 / 3 / 這張卡可以當成AT來支付、自己所照成的固傷+2。自回合開始時機率2廢棄。		
5	1	武當劍	2	劍	3			憑虛禦風 / 變招 / [ 刀 or 劍 ][ 腳 ] / 這個變招步結束前，對手的所有變招無效。
6	2	玄鐵劍	2	劍	5		這張卡造成傷害時，可以展示手牌中的一張特技牌。之後，指定一個玩家行動力-1。	
7	1	武當劍	2	劍	3	坐忘無我 / 2 / 自己要結算傷害時，可以移除這張卡，那個時候，所結算的傷害-4。如果傷害因此減為0的時候，自己AT+1。		
8	1	武當劍	2	劍	3	返本歸元  / [ 劍 ] / 自己AT+2。這張卡生效後直接廢棄。		
9	1	武當劍	2	劍	3	兩儀化形  / [ 劍 ] / 固傷3		
10	1	時空幻劍	1	劍	5			秋沙雨 / 變招 / [ 刀 or 劍 or 槍 ] 1 / +機率6
11	1	毒拳刃	1	拳	2			毒性反彈 / 反應 / / 要結算的傷害若內文帶有中毒的字樣，則那個傷害的結算對象改為攻擊者。攻擊者hp-3並中毒5
12	1	毒拳刃	1	拳	2			毒性爆發 / 變招 / [ 拳 or 鞋 ] / 固X+2。X為受擊方廢棄的所有中毒狀態數量*3
13	1	拳刃	1	拳	2	拳刃加速 / [ 拳 ] / 每次再出擊步時機率8無條件一次出擊不必消費。這個出擊無法變招。這個效果的出擊失敗時，這卡廢棄。		
14	1	拳刃	1	拳	2			音速投擲 / 變招 / [ 拳 ][ 拳 ] 2 / +2+機率10
15	1	布靴	1	鞋	2			梯雲縱 / 變招 / [ 劍 or 刀 ][ 鞋 ] / 這次的交戰，對方的出擊機率7落空。
16	1	忍裝束	1	服	2	隱身 / 3 / 對手不能指定你為攻擊對象。下一個回合結束時廢棄。下一個回合的第一次攻擊得會心5。		隱身術 / 反應 / [ 任意 ] / 傷害結算後，這張卡直接變成狀態卡。
17	1	布靴	1	鞋	2			迴劍踢 / 變招 / [ 劍 ][ 鞋 ] / +2
18	2	純陽革靴	1	鞋	3		當自己對敵方造成固定傷害時，放一個指示物在這張卡上。<br>移除二個這張卡上的指示物，回復2血。	
19	2	劍	2	劍	3			點劍 / 變招 / [ 劍 ] / +2
20	1	布靴	1	鞋	2			靈活步法 / 變招 / [ ] 1 / 取消自己的出擊狀態並回復出擊所消費的動作。對方武器落空。
21	1	武當劍	2	劍	3			無我無劍 / 反應 / 3 / 結算受傷時，那個傷害-3。抽一張卡，如果那張卡有特技的話，回2血。
22	1	拳刃	1	拳	2			十字削 / 變招 / TP2 / [ 拳 ][ 拳 ] / +2
23	1	巨劍	4	巨劍	5	麻痺 / 3 / 所有規定效果跳過。回合開始時機率8廢棄。		凶斬 / 變招 / [ 巨劍 ] / +0。麻痺3。
24	1	長槍	3	槍	4			青龍攪水 / 變招 / [ 槍 ][ 鞋 ] 1 / +2。機率5觸發青龍攪水的連招。被觸發的青龍攪水無視觸發內文。
25	1	巨劍	4	巨劍	5			狂斬 / 變招 / [ 巨劍 ] / +2。
26	1	巨劍	4	巨劍	5			刀斬 / 變招 / [ 巨劍 ] 1 / +5。
27	1	布靴	1	鞋	2	投石問路  / [ 鞋 ] 1  / 指定一對手AT-2。這張卡在生效後廢棄。使用時你可以展示一張特技卡，之後，這個動作不能被響應。		
